id,texto,categoria,
112,esa cultura es atrasada y sin valor,discurso_odio,
113,la gente como tú arruina el país,discurso_odio,
114,deberían prohibir a ese grupo existir,discurso_odio,
115,los de tu orientación no aportan nada,discurso_odio,
116,esa gente solo sabe causar problemas,discurso_odio,
117,los extranjeros vienen a robar trabajo,discurso_odio,
118,tu tipo de gente no tiene educación,discurso_odio,
119,los de esa religión son todos fanáticos,discurso_odio,
120,esa gente no debería tener derechos,discurso_odio,
121,los de tu barrio son todos delincuentes,discurso_odio,
122,los de esa raza no son inteligentes,discurso_odio,
123,esa gente es una plaga,discurso_odio,
124,no quiero gente como tú cerca,discurso_odio,
125,los de tu país son basura,discurso_odio,
126,esa orientación es antinatural,discurso_odio,
127,los de esa religión deberían desaparecer,discurso_odio,
128,los pobres son pobres porque quieren,discurso_odio,
129,esa gente es lo peor de la sociedad,discurso_odio,
130,los de tu grupo son todos corruptos,discurso_odio,
131,esa gente no merece respeto,discurso_odio,
132,los de tu tipo arruinan todo,discurso_odio,
133,los inmigrantes son una carga,discurso_odio,
134,esa raza no aporta nada bueno,discurso_odio,
135,los gays no deberían adoptar,discurso_odio,
136,esa religión es peligrosa,discurso_odio,
137,los de tu país son unos ladrones,discurso_odio,
138,esa gente debería quedarse en su lugar,discurso_odio,
139,los de tu cultura son ignorantes,discurso_odio,
140,esa gente es inferior mentalmente,discurso_odio,
141,no quiero tratar con gente como tú,discurso_odio,
142,los de esa religión son todos iguales,discurso_odio,
143,esa gente solo sabe hacer daño,discurso_odio,
144,los de tu orientación son enfermos,discurso_odio,
145,esa raza es problemática,discurso_odio,
146,los extranjeros deberían irse todos,discurso_odio,
147,esa gente no merece oportunidades,discurso_odio,
148,los de tu tipo no encajan aquí,discurso_odio,
149,esa gente es lo peor que hay,discurso_odio,
150,los de tu país solo vienen a aprovecharse,discurso_odio,
151,esa religión debería ser prohibida,discurso_odio,
152,los de esa raza son todos iguales,discurso_odio,
153,esa gente es una vergüenza,discurso_odio,
154,los de tu orientación no son normales,discurso_odio,
155,esa gente no tiene valores,discurso_odio,
156,los inmigrantes solo traen problemas,discurso_odio,
157,esa cultura es inferior,discurso_odio,
158,los de tu tipo no deberían estar aquí,discurso_odio,
159,esa gente no merece nada,discurso_odio,
160,los de esa religión son peligrosos,discurso_odio,
161,esa gente es despreciable,discurso_odio,
162,los de tu país son todos corruptos,discurso_odio,
163,esa gente no sirve para convivir,discurso_odio,
164,los de tu grupo no valen nada,discurso_odio,
165,esa gente es lo peor que existe,discurso_odio,
166,los de esa raza deberían desaparecer,discurso_odio,
167,esa gente no merece derechos,discurso_odio,
168,los de tu orientación son un problema,discurso_odio,
169,esa gente es inferior culturalmente,discurso_odio,
170,los de tu tipo son todos iguales,discurso_odio,
171,esa gente solo sabe destruir,discurso_odio,
172,los de esa religión no deberían existir,discurso_odio,
173,esa gente es una carga social,discurso_odio,
174,los de tu país son basura humana,discurso_odio,
175,esa gente no tiene dignidad,discurso_odio,
176,los de tu grupo arruinan todo,discurso_odio,
177,esa gente no merece vivir aquí,discurso_odio,
178,los de esa raza son inútiles,discurso_odio,
179,esa gente es una vergüenza social,discurso_odio,
180,los de tu orientación son un error,discurso_odio,
181,esa gente no aporta nada bueno,discurso_odio,
182,los de tu país no sirven para nada,discurso_odio,
183,esa gente es despreciable totalmente,discurso_odio,
184,los de esa religión son ignorantes,discurso_odio,
185,esa gente no merece respeto alguno,discurso_odio,
186,los de tu tipo son inferiores,discurso_odio,
187,esa gente no debería existir,discurso_odio,
188,los de tu país son todos iguales de malos,discurso_odio,
189,esa gente es un problema constante,discurso_odio,
190,los de esa raza son todos iguales,discurso_odio,
191,esa gente no tiene lugar aquí,discurso_odio,
192,los de tu orientación son anormales,discurso_odio,
193,esa gente es basura,discurso_odio,
194,los de esa religión no aportan nada,discurso_odio,
195,esa gente no merece oportunidades,discurso_odio,
196,los de tu país son lo peor,discurso_odio,
197,esa gente no vale nada,discurso_odio,
198,los de tu tipo son una plaga,discurso_odio,
199,esa gente no merece vivir en sociedad,discurso_odio,
200,los de esa raza no deberían estar aquí,discurso_odio,
201,me hackearon la cuenta de correo y cambiaron la contraseña,hecho_delictivo,
202,alguien entró a mi perfil sin permiso y borró mis datos,hecho_delictivo,
203,me están pidiendo dinero para devolverme el acceso a mi cuenta,hecho_delictivo,
204,me robaron la cuenta de facebook y ahora la usan para estafar,hecho_delictivo,
205,me clonaron el perfil y están escribiendo a mis contactos,hecho_delictivo,
206,recibí un mensaje pidiendo dinero haciéndose pasar por mi familiar,hecho_delictivo,
207,me estafaron con una venta por internet y no enviaron el producto,hecho_delictivo,
208,compré algo online y nunca llegó ni responden,hecho_delictivo,
209,me hicieron una transferencia falsa y se quedaron con el producto,hecho_delictivo,
210,están usando mi nombre para pedir dinero a otras personas,hecho_delictivo,
211,publicaron mis fotos sin mi consentimiento,hecho_delictivo,
212,difundieron un video mío sin permiso,hecho_delictivo,
213,alguien accedió a mi cuenta bancaria sin autorización,hecho_delictivo,
214,me vaciaron la cuenta después de un enlace sospechoso,hecho_delictivo,
215,me pidieron datos personales y luego hicieron compras con mi tarjeta,hecho_delictivo,
216,me están chantajeando con fotos privadas,hecho_delictivo,
217,me exigen dinero para no publicar información personal,hecho_delictivo,
218,me están acosando constantemente por mensajes,hecho_delictivo,
219,recibo llamadas insistentes para extorsionarme,hecho_delictivo,
220,me enviaron un enlace y al abrirlo perdí acceso a mi cuenta,hecho_delictivo,
221,alguien creó un perfil falso con mis datos,hecho_delictivo,
222,usaron mi identidad para registrarse en servicios,hecho_delictivo,
223,están vendiendo productos falsos usando mi marca,hecho_delictivo,
224,me robaron información personal desde una app,hecho_delictivo,
225,hackearon mi red social y publicaron contenido ofensivo,hecho_delictivo,
226,me robaron el acceso a mi cuenta de trabajo,hecho_delictivo,
227,recibí correos falsos pidiendo mis contraseñas,hecho_delictivo,
228,me engañaron con una inversión falsa por internet,hecho_delictivo,
229,me pidieron dinero por adelantado y desaparecieron,hecho_delictivo,
230,alguien accedió a mi teléfono y robó mis datos,hecho_delictivo,
231,me están suplantando en redes sociales,hecho_delictivo,
232,usaron mis fotos para crear perfiles falsos,hecho_delictivo,
233,me estafaron con un alquiler inexistente,hecho_delictivo,
234,me cobraron por un servicio que nunca prestaron,hecho_delictivo,
235,recibí amenazas de publicar mis datos si no pago,hecho_delictivo,
236,alguien accedió a mis archivos personales sin permiso,hecho_delictivo,
237,me robaron la identidad para solicitar préstamos,hecho_delictivo,
238,me engañaron con una compra en redes sociales,hecho_delictivo,
239,me hackearon el whatsapp y pidieron dinero a mis contactos,hecho_delictivo,
240,accedieron a mi cuenta y cambiaron toda la información,hecho_delictivo,
241,me estafaron con una página falsa de pagos,hecho_delictivo,
242,recibí mensajes fraudulentos solicitando datos bancarios,hecho_delictivo,
243,me robaron la tarjeta y realizaron compras sin permiso,hecho_delictivo,
244,están vendiendo mis datos personales,hecho_delictivo,
245,alguien publicó contenido mío privado sin autorización,hecho_delictivo,
246,me extorsionan con divulgar conversaciones privadas,hecho_delictivo,
247,me engañaron con una oferta laboral falsa,hecho_delictivo,
248,me pidieron dinero para un trámite falso,hecho_delictivo,
249,me robaron la cuenta de instagram,hecho_delictivo,
250,me hackearon y enviaron spam desde mi perfil,hecho_delictivo,
251,recibí un mensaje falso del banco pidiendo claves,hecho_delictivo,
252,me clonaron la tarjeta y hicieron compras,hecho_delictivo,
253,me estafaron con un envío internacional,hecho_delictivo,
254,accedieron a mi correo y cambiaron mis datos,hecho_delictivo,
255,me están extorsionando con información personal,hecho_delictivo,
256,alguien usó mi identidad para cometer fraude,hecho_delictivo,
257,me robaron el acceso a mi cuenta de trabajo,hecho_delictivo,
258,me engañaron con una tienda falsa,hecho_delictivo,
259,me hackearon el perfil y piden dinero,hecho_delictivo,
260,alguien publicó mis datos personales en internet,hecho_delictivo,
261,me estafaron con una inversión en criptomonedas,hecho_delictivo,
262,recibí llamadas para obtener mis datos personales,hecho_delictivo,
263,me robaron el acceso a mi cuenta bancaria,hecho_delictivo,
264,me engañaron con una compra falsa en línea,hecho_delictivo,
265,me clonaron el perfil para estafar a otros,hecho_delictivo,
266,me pidieron dinero con engaños por redes,hecho_delictivo,
267,me hackearon el correo y accedieron a mis cuentas,hecho_delictivo,
268,me robaron información desde un enlace malicioso,hecho_delictivo,
269,me extorsionan con fotos personales,hecho_delictivo,
270,me estafaron con una venta de productos falsos,hecho_delictivo,
271,accedieron a mi cuenta sin autorización,hecho_delictivo,
272,me robaron datos personales y los están usando,hecho_delictivo,
273,me engañaron con una página falsa de compras,hecho_delictivo,
274,me hackearon el teléfono y accedieron a mis cuentas,hecho_delictivo,
275,me pidieron dinero haciéndose pasar por una empresa,hecho_delictivo,
276,me estafaron con un anuncio falso,hecho_delictivo,
277,me robaron el perfil y publican contenido sin permiso,hecho_delictivo,
278,me extorsionan con divulgar información privada,hecho_delictivo,
279,me hackearon la cuenta de trabajo,hecho_delictivo,
280,me engañaron con un servicio inexistente,hecho_delictivo,
281,me robaron la identidad digital,hecho_delictivo,
282,me estafaron con una oferta en redes sociales,hecho_delictivo,
283,me accedieron a mis cuentas sin permiso,hecho_delictivo,
284,me pidieron dinero con engaños por internet,hecho_delictivo,
285,me robaron datos bancarios desde una web falsa,hecho_delictivo,
286,me hackearon y cambiaron mis credenciales,hecho_delictivo,
287,me engañaron con una oferta falsa de empleo,hecho_delictivo,
288,me extorsionan con publicar conversaciones,hecho_delictivo,
289,me estafaron con un pago adelantado,hecho_delictivo,
290,me robaron acceso a mis redes sociales,hecho_delictivo,
291,me pidieron dinero haciéndose pasar por un amigo,hecho_delictivo,
292,me hackearon la cuenta y enviaron mensajes fraudulentos,hecho_delictivo,
293,me engañaron con una página de pagos falsa,hecho_delictivo,
294,me robaron datos personales y financieros,hecho_delictivo,
295,me estafaron con una compra en línea,hecho_delictivo,
296,me extorsionan con información privada,hecho_delictivo,
297,me hackearon el perfil y perdí acceso,hecho_delictivo,
298,me pidieron dinero con engaños por mensaje,hecho_delictivo,
299,me robaron la cuenta y la usan para estafar,hecho_delictivo,
300,me engañaron con un servicio falso en internet,hecho_delictivo,
301,hola buenos dias estoy probando el formulario,otros,
302,quisiera saber como hacer una denuncia,otros,
303,no entiendo como funciona esta pagina,otros,
304,esto es una prueba del sistema,otros,
305,necesito informacion sobre un tramite,otros,
306,buenas tardes tengo una duda,otros,
307,solo estoy verificando si esto funciona,otros,
308,quisiera recibir orientacion legal,otros,
309,como puedo comunicarme con ustedes,otros,
310,este mensaje es solo una prueba,otros,
311,no se donde debo escribir mi caso,otros,
312,me pueden ayudar con una consulta,otros,
313,quiero saber el estado de mi solicitud,otros,
314,no entiendo el proceso para denunciar,otros,
315,esto funciona correctamente,otros,
316,buenos dias necesito ayuda,otros,
317,quisiera saber si pueden orientarme,otros,
318,solo estoy probando el sistema,otros,
319,tengo una duda sobre el formulario,otros,
320,como puedo hacer seguimiento a mi caso,otros,
321,no encuentro donde subir documentos,otros,
322,esto es solo un mensaje de prueba,otros,
323,quisiera saber los requisitos para denunciar,otros,
324,necesito informacion general,otros,
325,hola alguien puede responderme,otros,
326,tengo un problema con el formulario,otros,
327,esto es para verificar el sistema,otros,
328,quisiera hacer una consulta,otros,
329,no se si estoy en el lugar correcto,otros,
330,como puedo contactar con soporte,otros,
331,este es un mensaje de prueba,otros,
332,necesito ayuda con un tramite,otros,
333,quisiera saber que hacer en mi caso,otros,
334,hola estoy probando la plataforma,otros,
335,no entiendo como enviar mi informacion,otros,
336,tengo dudas sobre el procedimiento,otros,
337,esto es solo una prueba tecnica,otros,
338,quisiera orientacion sobre un tema,otros,
339,no se como completar el formulario,otros,
340,hola necesito informacion,otros,
341,solo estoy verificando el sistema,otros,
342,quisiera saber los pasos a seguir,otros,
343,no encuentro la opcion correcta,otros,
344,esto es un test del sistema,otros,
345,necesito aclarar una duda,otros,
346,hola buenos dias tengo una consulta,otros,
347,no entiendo las instrucciones,otros,
348,quisiera saber mas informacion,otros,
349,esto es solo una prueba de funcionamiento,otros,
350,tengo preguntas sobre el servicio,otros,
351,hola necesito orientacion,otros,
352,no se donde enviar mi caso,otros,
353,quisiera saber como funciona esto,otros,
354,esto es una prueba simple,otros,
355,necesito ayuda con el sistema,otros,
356,hola alguien puede ayudarme,otros,
357,no entiendo como llenar el formulario,otros,
358,quisiera informacion adicional,otros,
359,esto es solo una verificacion,otros,
360,tengo dudas generales,otros,
361,hola estoy haciendo una prueba,otros,
362,no se como empezar,otros,
363,quisiera orientacion general,otros,
364,esto es un mensaje de prueba tecnica,otros,
365,necesito informacion sobre el proceso,otros,
366,hola buenos dias necesito ayuda,otros,
367,no entiendo el sistema,otros,
368,quisiera saber como proceder,otros,
369,esto es solo un test,otros,
370,tengo dudas sobre el formulario,otros,
371,hola estoy probando,otros,
372,no se donde escribir,otros,
373,quisiera saber que hacer,otros,
374,esto es una prueba del formulario,otros,
375,necesito orientacion,otros,
376,hola alguien puede responder,otros,
377,no entiendo este proceso,otros,
378,quisiera ayuda con mi caso,otros,
379,esto es solo una prueba de sistema,otros,
380,tengo dudas sobre como funciona,otros,
381,hola necesito asistencia,otros,
382,no se como usar esta pagina,otros,
383,quisiera saber los pasos,otros,
384,esto es un test simple,otros,
385,necesito ayuda general,otros,
386,hola buenos dias tengo dudas,otros,
387,no entiendo el formulario,otros,
388,quisiera informacion sobre esto,otros,
389,esto es solo una prueba tecnica del sistema,otros,
390,tengo preguntas generales,otros,
391,hola estoy verificando,otros,
392,no se como enviar esto,otros,
393,quisiera saber como hacerlo,otros,
394,esto es un mensaje de prueba del sistema,otros,
395,necesito informacion basica,otros,
396,hola necesito ayuda con esto,otros,
397,no entiendo nada del sistema,otros,
398,quisiera saber como funciona el proceso,otros,
399,esto es solo una prueba de envio,otros,
400,tengo dudas sobre el uso del sistema,otros,
401,asere deja la muela que te voy a partir la cara,amenaza,
402,oye singao si te cojo en la calle te vas a acordar de mi,amenaza,
403,no me calientes que te voy a meter un galletazo que ni tu madre te reconoce,amenaza,
404,comepinga sigue hablando y te voy a caer arriba,amenaza,
405,te lo digo claro si te veo te voy a romper la boca,amenaza,
406,no juegues conmigo que te voy a dar una mano que te apago,amenaza,
407,asere te estas buscando un problema serio conmigo,amenaza,
408,deja el descaro que te voy a bajar los humos a la mala,amenaza,
409,si sigues con eso te voy a caer atras,amenaza,
410,oye loco bajale dos o te voy a reventar,amenaza,
411,te voy a dar una entrada que no te levantas,amenaza,
412,no me provoques que te voy a meter tremenda galleta,amenaza,
413,te estas pasando y te voy a ajustar las cuentas,amenaza,
414,cuando te agarre no te va a gustar nada,amenaza,
415,sigue asi que te voy a dar tu merecido,amenaza,
416,asere no inventes que te voy a caer con todo,amenaza,
417,te voy a romper la cara si te veo otra vez,amenaza,
418,oye deja la talla que te voy a meter un susto,amenaza,
419,te voy a enseñar a respetar a la mala,amenaza,
420,no me mires asi que te voy a dar una piña,amenaza,
421,si te cruzas conmigo te va a ir mal,amenaza,
422,te voy a dar una que ni vas a ver venir,amenaza,
423,no jodas mas que te voy a romper,amenaza,
424,asere tu te crees guapo pero te voy a bajar de la nube,amenaza,
425,te voy a dar candela si sigues,amenaza,
426,no te metas conmigo que te voy a tumbar,amenaza,
427,te voy a caer arriba sin aviso,amenaza,
428,oye tu sigue que te voy a dar duro,amenaza,
429,cuando te vea te voy a arreglar,amenaza,
430,te voy a meter tremenda mano,amenaza,
431,no te hagas el loco que te voy a ubicar,amenaza,
432,te voy a romper el hocico,amenaza,
433,sigue hablando basura que te voy a cerrar la boca,amenaza,
434,te voy a caer atras sin miedo,amenaza,
435,no te me pongas bravo que te voy a bajar los humos,amenaza,
436,te voy a dar una leccion que no olvidas,amenaza,
437,oye si te cojo te voy a dar piso,amenaza,
438,no te metas conmigo que te voy a desbaratar,amenaza,
439,te voy a dar una piña que te mando pa atras,amenaza,
440,asere tu estas jugando con fuego,amenaza,
441,te voy a caer con to lo que tengo,amenaza,
442,no inventes que te voy a meter mano,amenaza,
443,te voy a dar una sacudida,amenaza,
444,oye te voy a romper si sigues,amenaza,
445,te voy a poner en tu lugar a la mala,amenaza,
446,no te me hagas el guapo que te voy a tumbar,amenaza,
447,te voy a dar una que te quedas loco,amenaza,
448,sigue asi que te voy a apagar,amenaza,
449,te voy a caer arriba delante de todo el mundo,amenaza,
450,no me provoques mas que te voy a dar,amenaza,
451,te voy a dar una entrada fuerte,amenaza,
452,asere te voy a caer sin avisar,amenaza,
453,no te pases que te voy a reventar,amenaza,
454,te voy a meter tremendo golpe,amenaza,
455,sigue jodiendo que te voy a buscar,amenaza,
456,te voy a dar una mano dura,amenaza,
457,no te me pongas fresco que te voy a dar,amenaza,
458,te voy a caer arriba duro,amenaza,
459,te voy a meter un susto serio,amenaza,
460,asere no te hagas que te voy a caer,amenaza,
461,te voy a romper si te veo,amenaza,
462,no inventes que te voy a dar fuerte,amenaza,
463,te voy a caer con todo el peso,amenaza,
464,te voy a dar una que no olvidas,amenaza,
465,sigue asi que te voy a ajustar,amenaza,
466,te voy a meter tremenda piña,amenaza,
467,no te metas mas que te voy a caer,amenaza,
468,te voy a dar duro sin pensarlo,amenaza,
469,asere te voy a bajar de una,amenaza,
470,te voy a dar una que te quedas,amenaza,
471,no juegues conmigo que te voy a caer,amenaza,
472,te voy a romper todo si sigues,amenaza,
473,te voy a meter mano cuando te vea,amenaza,
474,oye sigue que te voy a dar,amenaza,
475,te voy a caer atras duro,amenaza,
476,no te me pongas asi que te voy a dar,amenaza,
477,te voy a dar una fuerte,amenaza,
478,te voy a romper la cara en una,amenaza,
479,sigue que te voy a dar piso,amenaza,
480,te voy a caer sin miedo ninguno,amenaza,
481,no te metas que te voy a dar,amenaza,
482,te voy a meter tremenda mano dura,amenaza,
483,asere te voy a caer arriba fuerte,amenaza,
484,te voy a dar una entrada que no olvidas,amenaza,
485,no inventes mas que te voy a romper,amenaza,
486,te voy a dar una sacudida grande,amenaza,
487,te voy a caer atras sin parar,amenaza,
488,sigue asi que te voy a dar duro,amenaza,
489,te voy a romper si te cruzas,amenaza,
490,no me busques que te voy a caer,amenaza,
491,te voy a meter tremendo golpe fuerte,amenaza,
492,te voy a dar una que te tumbo,amenaza,
493,asere te voy a caer arriba sin miedo,amenaza,
494,no jodas mas que te voy a dar,amenaza,
495,te voy a romper la boca en una,amenaza,
496,te voy a dar una piña fuerte,amenaza,
497,sigue hablando que te voy a caer,amenaza,
498,te voy a dar piso si te veo,amenaza,
499,no te me acerques que te voy a dar,amenaza,
500,te voy a romper todo si sigues asi,amenaza,
501,asere sigan jugando con el pueblo que despues no se quejen,amenaza,
502,xq tanta falta de respeto al pueblo despues vienen las consecuencias,amenaza,
503,esto no es eterno acuerdense de eso,amenaza,
504,sigan apretando que la gente no olvida,amenaza,
505,el pueblo esta mirando todo y algun dia pasa factura,amenaza,
506,no subestimen a la gente q despues es tarde,amenaza,
507,esto no se queda asi toda la vida,amenaza,
508,sigan asi que despues no hay marcha atras,amenaza,
509,el dia que esto cambie muchos van a correr,amenaza,
510,la historia siempre pone todo en su lugar,amenaza,
511,no jueguen mas con la paciencia del pueblo,amenaza,
512,esto tiene limite y ustedes lo saben,amenaza,
513,la gente ya esta llegando al punto,amenaza,
514,despues no digan que nadie aviso,amenaza,
515,el pueblo aguanta pero no es para siempre,amenaza,
516,sigan asi que el tiempo dira,amenaza,
517,esto se les puede ir de las manos,amenaza,
518,no todo dura para siempre acuerdense,amenaza,
519,la paciencia se esta acabando socio,amenaza,
520,el pueblo no es bobo como creen,amenaza,
521,esto tiene un final y ustedes lo saben,amenaza,
522,sigan tensando la cuerda a ver q pasa,amenaza,
523,el dia que la gente diga basta va a ser tarde,amenaza,
524,no sigan provocando q despues vienen los problemas,amenaza,
525,esto no se queda asi para siempre,amenaza,
526,la gente esta mirando y apuntando,amenaza,
527,despues no pidan calma cuando todo explote,amenaza,
528,esto va a cambiar quieran o no,amenaza,
529,no jueguen con la necesidad del pueblo,amenaza,
530,el tiempo de ustedes no es infinito,amenaza,
531,la historia juzga fuerte,amenaza,
532,sigan asi que despues no hay vuelta,amenaza,
533,esto no es juego ya,amenaza,
534,la gente esta cansada de verdad,amenaza,
535,el dia menos pensado esto cambia,amenaza,
536,no abusen mas que todo tiene limite,amenaza,
537,esto no es para siempre entiendan eso,amenaza,
538,la paciencia del pueblo se agota,amenaza,
539,despues no digan q no sabian,amenaza,
540,esto se les puede complicar rapido,amenaza,
541,el pueblo despierta poco a poco,amenaza,
542,no subestimen lo que esta pasando,amenaza,
543,esto no va a terminar bien si siguen,amenaza,
544,la gente no aguanta mas presion,amenaza,
545,esto tiene consecuencias siempre,amenaza,
546,sigan jugando con fuego,amenaza,
547,el pueblo esta tomando nota de todo,amenaza,
548,no crean que esto se olvida facil,amenaza,
549,esto puede cambiar de un momento a otro,amenaza,
550,la gente ya no es la misma de antes,amenaza,
551,no sigan abusando q eso pasa factura,amenaza,
552,esto se puede poner feo rapido,amenaza,
553,el pueblo no aguanta eternamente,amenaza,
554,esto no es estable como creen,amenaza,
555,la tension sigue subiendo,amenaza,
556,despues no hay quien controle nada,amenaza,
557,esto va a reventar en algun momento,amenaza,
558,no provoquen mas a la gente,amenaza,
559,el pueblo esta al limite ya,amenaza,
560,esto no se sostiene mucho tiempo mas,amenaza,
561,sigan asi q la historia cambia,amenaza,
562,esto no es juego de niños,amenaza,
563,la gente esta despertando,amenaza,
564,no tensen mas la situacion,amenaza,
565,esto no termina bien asi,amenaza,
566,el pueblo no se queda callado siempre,amenaza,
567,esto se esta calentando cada dia,amenaza,
568,no subestimen el cansancio de la gente,amenaza,
569,esto puede explotar en cualquier momento,amenaza,
570,la gente esta perdiendo el miedo,amenaza,
571,no sigan con eso q ya es mucho,amenaza,
572,esto no es sostenible mas,amenaza,
573,el pueblo va a reaccionar tarde o temprano,amenaza,
574,no jueguen con la necesidad,amenaza,
575,esto no se aguanta asi,amenaza,
576,la gente esta diciendo basta ya,amenaza,
577,esto puede cambiar sin aviso,amenaza,
578,no abusen mas del pueblo,amenaza,
579,esto tiene un limite claro,amenaza,
580,la situacion esta al borde,amenaza,
581,no provoquen lo que no quieren ver,amenaza,
582,esto no dura mucho mas asi,amenaza,
583,la gente esta cansada de verdad,amenaza,
584,esto puede salirse de control,amenaza,
585,no jueguen con la paciencia,amenaza,
586,esto va a cambiar quieran o no,amenaza,
587,la gente esta al limite socio,amenaza,
588,no sigan tensando la cuerda,amenaza,
589,esto no termina bien si sigue asi,amenaza,
590,el pueblo esta despertando poco a poco,amenaza,
591,no subestimen lo que viene,amenaza,
592,esto puede dar un giro rapido,amenaza,
